symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
1,118,dodge,gas,,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,,,53.3,2008,ohc,,97,2bbl,3.15,3.29,9.4,69,5200,31,37,
0,85,subaru,gas,,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,,23,11694
0,,nissan,gas,,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,,ohc,four,120,2bbl,3.33,3.47,8.5,97,,27,34,8949
2,,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118
3,150,,,,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,,70,4bbl,?,?,9.4,101,6000,17,23,13645
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,,2326,ohc,four,,mpfi,3.31,3.54,8.7,92,4200,29,34,8948
-1,110,dodge,gas,std,four,wagon,fwd,,103.3,174.6,64.6,59.8,2535,ohc,,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
0,91,,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,,4800,28,34,9258
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,four,108,2bbl,,2.64,9.5,82,4400,28,33,7775
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845
,128,nissan,gas,std,two,,,,94.5,165.3,63.8,54.5,,ohc,four,97,2bbl,3.15,3.29,9.4,69,,31,37,7299
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945
1,107,honda,gas,std,two,sedan,fwd,,,169.1,66.0,51.0,,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345
0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,,,16,40960
-1,65,toyota,gas,std,four,sedan,fwd,,102.4,175.6,,54.9,,ohc,four,,,3.31,3.54,8.7,,4200,27,32,10898
,?,volkswagen,gas,std,four,sedan,fwd,front,100.4,,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,
0,?,mazda,diesel,std,?,sedan,fwd,,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,,mpfi,3.47,2.68,9.0,111,5000,21,27,16500
1,87,toyota,gas,std,two,hatchback,fwd,,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,,ohc,,140,mpfi,3.76,3.16,8.0,120,5000,19,,18280
1,168,toyota,gas,std,,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,dohc,four,98,mpfi,3.24,,,112,6600,26,29,9298
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,,58,4800,49,54,6479
0,?,peugot,diesel,turbo,,wagon,rwd,front,,198.9,68.4,58.7,3485,l,four,152,,3.7,3.52,21.0,,4150,25,25,17075
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,
-1,110,dodge,gas,std,,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
-2,103,volvo,gas,std,,sedan,rwd,front,,,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,,114,,23,28,12940
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189
1,,dodge,gas,std,four,,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,,52.8,4066,dohc,six,258,,3.63,4.17,8.1,176,4750,15,19,32250
0,115,mazda,gas,std,four,,fwd,front,,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245
-1,90,toyota,gas,std,four,sedan,,front,104.5,187.8,66.5,54.1,3131,dohc,six,,mpfi,3.27,3.35,9.2,156,5200,,24,15690
0,?,mazda,diesel,,four,sedan,rwd,front,104.9,,66.1,54.4,2700,ohc,four,134,,3.43,3.64,22.0,72,4200,31,39,18344
1,128,nissan,gas,std,two,,fwd,front,94.5,165.3,63.8,54.5,,ohc,,97,2bbl,3.15,3.29,9.4,69,5200,31,,5499
,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,,29,11259
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,,26,18150
,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,,86,5800,27,33,7895
1,125,mitsubishi,gas,,,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,,,122,2bbl,3.35,,8.5,88,5000,25,32,8189
0,85,subaru,,,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,,108,2bbl,3.62,2.64,9.0,82,,23,29,8013
,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,,2bbl,3.39,3.39,8.6,84,4800,26,32,11245
0,85,subaru,gas,,four,wagon,4wd,front,96.9,173.6,,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,,29,8013
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
3,194,,gas,turbo,two,hatchback,rwd,front,,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,,,2191,ohc,four,,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515
0,?,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949
1,148,dodge,gas,turbo,?,sedan,fwd,,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558
2,134,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,,four,146,mpfi,3.62,3.5,,116,4800,24,30,17669
0,?,bmw,gas,std,two,sedan,,,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315
3,?,porsche,gas,std,,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,,7609
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449
0,?,renault,,std,four,wagon,fwd,,96.1,181.5,66.5,55.2,2579,ohc,four,,mpfi,,,8.7,?,?,,31,9295
1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,,3.78,3.12,8.0,175,5000,19,24,16503
-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106,,26,27,
0,?,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,,,3.4,9.0,,5500,25,,
0,?,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,,43,?
0,91,toyota,gas,std,four,hatchback,fwd,,95.7,166.3,64.4,52.8,2109,ohc,four,,2bbl,3.19,3.03,9.0,70,4800,30,37,7198
-1,93,mercedes-benz,diesel,,four,wagon,rwd,front,110.0,190.9,70.3,,3750,,five,183,idi,3.58,3.64,21.5,123,4350,,25,28248
3,150,saab,gas,turbo,two,hatchback,fwd,front,,186.6,66.5,56.1,,dohc,four,,,3.54,3.07,9.0,160,5500,19,26,
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,,5000,,24,14489
2,192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
,93,,diesel,turbo,four,wagon,rwd,front,110.0,190.9,,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248
2,168,nissan,,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249
1,,nissan,diesel,std,two,,fwd,front,94.5,165.3,,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,,50,7099
0,?,volkswagen,,std,four,wagon,fwd,front,100.4,183.1,66.9,,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500,25,31,12290
0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,,,four,,idi,3.27,3.35,22.5,56,4500,34,36,7898
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,,,98,2bbl,3.19,3.03,9.0,70,4800,38,47,
1,168,toyota,gas,std,,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,,29,9538
1,103,nissan,gas,std,four,wagon,fwd,,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,,69,5200,31,,7349
-1,65,toyota,gas,std,four,,fwd,front,102.4,175.6,,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,,29,34,8948
1,168,toyota,,std,two,hatchback,rwd,front,94.5,168.7,,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238
,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95,4150,25,25,17075
2,,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,,3.01,3.4,23.0,,4500,37,42,9495
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,,50.8,1713,ohc,four,92,1bbl,2.91,3.41,,58,,49,54,6479
2,192,,gas,,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
1,,,gas,std,four,,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
1,?,porsche,gas,std,,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,,203,mpfi,,3.11,10.0,288,5750,17,28,?
3,194,nissan,gas,std,,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,,25,17199
1,148,dodge,gas,std,four,sedan,fwd,front,,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,,31,38,7609
3,?,alfa-romero,,std,two,convertible,rwd,front,88.6,,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500
0,108,nissan,gas,std,,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,,,mpfi,,3.27,9.0,152,5200,17,22,14399
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,,2302,ohc,four,120,2bbl,3.33,,8.5,97,5200,27,34,9549
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575
3,150,mazda,gas,std,two,hatchback,rwd,front,,169.0,65.7,49.6,2385,rotor,two,70,4bbl,?,?,9.4,101,,17,23,13645
3,150,saab,,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850
3,197,toyota,gas,std,,hatchback,rwd,front,102.9,183.5,,52.0,3016,dohc,six,171,,3.27,3.35,9.3,,5200,19,24,15998
2,134,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,four,146,mpfi,3.62,,9.3,,4800,24,30,17669
,?,mitsubishi,gas,turbo,,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,,
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,,63.8,54.5,1938,ohc,four,97,2bbl,,3.29,9.4,69,5200,,37,6849
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295
0,115,mazda,,std,four,sedan,,front,,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,,84,4800,26,32,8495
,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,,1bbl,3.15,,9.0,86,5800,27,33,
0,89,subaru,gas,std,four,wagon,fwd,,97.0,173.5,65.4,53.0,2455,ohcf,four,,mpfi,3.62,2.64,9.0,94,5200,25,31,
1,148,dodge,gas,std,four,hatchback,fwd,front,,157.3,63.8,50.6,,ohc,,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
1,?,porsche,gas,std,two,,rwd,front,98.4,175.7,,50.5,3366,,eight,203,mpfi,3.94,3.11,10.0,,5750,17,28,?
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,,50.6,1967,ohc,four,90,,2.97,3.23,,68,,31,38,6229
0,91,toyota,,std,four,hatchback,fwd,front,95.7,166.3,64.4,,2275,ohc,four,110,idi,3.27,,22.5,56,4500,38,47,7788
,148,dodge,,std,,,fwd,front,93.7,157.3,63.8,50.6,1989,,four,90,,2.97,3.23,9.4,68,,,38,6692
,74,,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,,114,5400,24,28,16515
2,134,,gas,std,two,hardtop,rwd,,98.4,176.2,65.6,52.0,2536,ohc,four,,mpfi,3.62,3.5,9.3,116,,24,30,9639
0,?,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,,four,134,idi,3.43,3.64,22.0,72,4200,31,39,18344
3,?,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,
2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,,,3.19,9.0,121,4250,21,28,20970
0,89,,gas,,four,,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463
,83,,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,,2bbl,3.62,2.64,8.7,73,4400,26,31,7053
0,145,jaguar,,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,,six,,mpfi,3.63,4.17,8.1,176,4750,,19,32250
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,,2380,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,11845
0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,,21.0,95,4150,25,25,
,101,,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,,2.91,3.41,9.2,76,6000,30,34,7129
1,?,mercury,gas,turbo,two,hatchback,,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,,2bbl,3.15,3.29,9.4,69,,31,37,
2,164,audi,gas,std,,sedan,4wd,front,99.4,176.6,66.4,54.3,,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450
1,118,dodge,gas,std,two,hatchback,fwd,,93.7,,63.8,50.8,1876,ohc,four,90,2bbl,,3.23,9.41,68,5500,37,41,5572
0,108,nissan,gas,std,four,wagon,,front,100.4,184.6,66.5,56.1,3296,ohcv,,181,mpfi,3.43,3.27,9.0,152,,17,22,14399
-1,95,volvo,gas,turbo,four,,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625
2,94,volkswagen,diesel,std,,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800,37,46,7995
-1,65,toyota,diesel,,four,sedan,fwd,front,,175.6,66.5,54.9,2480,ohc,,110,idi,3.27,3.35,22.5,73,4500,30,33,10698
-1,?,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,,15750
0,?,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,?,?,23,31,9295
-1,74,plymouth,gas,std,,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,,122,2bbl,,3.46,,88,,24,30,8921
1,104,mazda,gas,std,two,,fwd,front,93.1,159.1,,54.1,1905,ohc,four,91,2bbl,,3.15,9.0,68,5000,31,38,6795
0,,,diesel,std,four,,fwd,,95.7,166.3,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56,,,,7898
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,,110.0,190.9,70.3,58.7,3750,ohc,,183,idi,3.58,3.64,21.5,123,4350,,25,28248
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738
-1,74,volvo,,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,,17,22,18950
-1,,toyota,gas,std,,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,,32,11248
0,?,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,,,3230,ohc,six,209,,3.62,3.39,8.0,182,,,22,
0,161,peugot,gas,std,four,sedan,rwd,,107.9,186.7,68.4,56.7,,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,,16630
1,?,mercury,gas,,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,,175,5000,19,24,16503
-1,95,volvo,gas,turbo,four,sedan,,front,109.1,188.8,68.9,55.5,3062,,four,141,mpfi,,3.15,9.5,114,5400,19,25,22625
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,,3.52,21.0,95,4150,28,33,13200
0,,honda,gas,,two,hatchback,,front,96.5,,65.2,53.3,2289,,four,110,1bbl,3.15,3.58,9.0,86,5800,27,,9095
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,,23,30,9279
-1,65,toyota,gas,std,four,,fwd,,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,,3.54,8.7,92,4200,29,34,8948
0,161,peugot,gas,std,four,sedan,rwd,,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,,2.19,8.4,95,5000,19,,15580
2,?,isuzu,,,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,,four,119,spfi,3.43,3.23,9.2,90,5000,24,,11048
2,134,,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,
3,150,saab,gas,turbo,two,hatchback,fwd,front,,186.6,66.5,56.1,2808,dohc,four,,mpfi,3.54,3.07,,160,5500,19,26,18150
3,?,porsche,gas,std,,,rwd,,89.5,168.9,65.0,51.6,2756,,six,194,mpfi,3.74,,9.5,207,5900,17,25,34028
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,,122,mpfi,3.31,3.54,8.7,,4200,27,,11248
2,161,mitsubishi,gas,std,two,hatchback,fwd,,93.7,,64.4,50.8,1918,,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,
2,94,volkswagen,diesel,turbo,,sedan,fwd,front,97.3,,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500,37,42,9495
1,?,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,,20,25,24565
,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,,1bbl,2.91,3.41,,76,6000,30,34,7295
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,,10245
,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,,,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639
0,?,mercedes-benz,gas,std,four,sedan,rwd,front,,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,16,
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,,four,98,mpfi,3.03,,7.6,102,5500,24,30,
0,?,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,,4750,15,19,
0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,,,111,4800,24,,11259
1,158,audi,gas,std,,sedan,fwd,front,105.8,192.7,71.4,55.7,,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710
2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,,102,5500,24,30,
1,128,nissan,gas,,,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,,141,mpfi,,3.15,9.5,114,5400,24,28,15985
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,
1,113,mazda,,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395
0,?,bmw,gas,,,sedan,rwd,front,103.5,189.0,66.9,55.7,,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,,22,30760
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,,9.0,62,4800,35,39,5348
0,188,bmw,gas,std,four,,rwd,front,,176.8,64.8,54.3,,ohc,,,,3.31,3.19,,,4250,21,28,21105
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,,2.97,3.23,9.4,68,,31,38,6669
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,,3.54,8.7,92,4200,27,32,10898
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,,1bbl,2.91,3.07,,60,5500,38,42,5399
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,,3.11,9.6,70,5400,38,43,6575
0,102,subaru,gas,std,four,sedan,,front,97.0,172.0,65.4,,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,24,25,
1,118,dodge,,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,,four,90,2bbl,2.97,3.23,9.4,68,5500,,38,6377
3,150,mazda,gas,std,two,,rwd,,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,11845
2,94,volkswagen,gas,std,four,sedan,fwd,,97.3,171.7,65.5,,2212,ohc,four,109,,,3.4,9.0,85,5250,27,34,8195
0,,subaru,gas,std,four,sedan,fwd,front,97.2,,65.4,52.5,2145,ohcf,,108,2bbl,,2.64,9.5,82,4800,32,37,7126
1,122,,gas,std,four,sedan,,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,,37,6849
